Indicator,Model,Scenario,Region,Variable,Unit,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
Gross Domestic Product (GDP)(combined(no bus))Delayed transitionNiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Delayed transition,Brazil,Gross Domestic Product (GDP)(combined(no bus)),"% difference,  1995 prices; Real Bn",-4.49,-7.77,-12.36,-15.05,-16.30,-17.21,,,,,,,,,,
Gross Domestic Product (GDP)(combined(no bus))Delayed transitionNiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Delayed transition,Brazil,Gross Domestic Product (GDP)(combined(no bus)),"% difference,  2017 PPP ; US$ Bn",-4.49,-7.77,-12.36,-15.05,-16.30,-17.21,,,,,,,,,,
Gross Domestic Product (GDP)(combined(no bus))Fragmented WorldNiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Fragmented World,Brazil,Gross Domestic Product (GDP)(combined(no bus)),"% difference,  1995 prices; Real Bn",-4.55,-7.77,-11.73,-14.86,-16.92,-19.15,,,,,,,,,,
Gross Domestic Product (GDP)(combined(no bus))Fragmented WorldNiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Fragmented World,Brazil,Gross Domestic Product (GDP)(combined(no bus)),"% difference,  2017 PPP ; US$ Bn",-4.55,-7.77,-11.73,-14.86,-16.92,-19.15,,,,,,,,,,
Gross Domestic Product (GDP)(combined)Below 2°CNiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Below 2°C,Brazil,Gross Domestic Product (GDP)(combined),"% difference,  1995 prices; Real Bn",-4.54,-7.86,-11.17,-13.43,-14.55,-15.52,,,,,,,,,,
Gross Domestic Product (GDP)(combined)Below 2°CNiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Below 2°C,Brazil,Gross Domestic Product (GDP)(combined),"% difference,  2017 PPP ; US$ Bn",-4.54,-7.86,-11.17,-13.43,-14.55,-15.52,,,,,,,,,,
Gross Domestic Product (GDP)(combined)Delayed transitionNiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Delayed transition,Brazil,Gross Domestic Product (GDP)(combined),"% difference,  1995 prices; Real Bn",-4.49,-7.77,-12.33,-15.08,-16.33,-17.24,,,,,,,,,,
Gross Domestic Product (GDP)(combined)Delayed transitionNiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Delayed transition,Brazil,Gross Domestic Product (GDP)(combined),"% difference,  2017 PPP ; US$ Bn",-4.49,-7.77,-12.33,-15.08,-16.33,-17.24,,,,,,,,,,
Gross Domestic Product (GDP)(combined)Fragmented WorldNiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Fragmented World,Brazil,Gross Domestic Product (GDP)(combined),"% difference,  1995 prices; Real Bn",-4.55,-7.77,-11.69,-14.89,-16.95,-19.18,,,,,,,,,,
Gross Domestic Product (GDP)(combined)Fragmented WorldNiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Fragmented World,Brazil,Gross Domestic Product (GDP)(combined),"% difference,  2017 PPP ; US$ Bn",-4.55,-7.77,-11.69,-14.89,-16.95,-19.18,,,,,,,,,,
