Indicator,Model,Scenario,Region,Variable,Unit,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
Final Energy|Residential and Commercial|Residential|Heating|SpaceLow demand,GCAM 6.0 NGFS,Low demand,World,Final Energy|Residential and Commercial|Residential|Heating|Space,EJ/yr,22.2728666,20.49031212,19.1112493,17.64846296,15.50350973,14.66468937,14.75441689,14.69652719,14.53179773,14.2113698,13.80008311,13.32716752,12.88318787,12.36842994,11.81632136,11.30621663
Final Energy|Residential and Commercial|Residential|Heating|SpaceNationally Determined Contributions (NDCs),GCAM 6.0 NGFS,Nationally Determined Contributions (NDCs),World,Final Energy|Residential and Commercial|Residential|Heating|Space,EJ/yr,22.76042955,22.8609096,23.31023258,23.5611864,23.42450837,23.00782238,22.67256395,22.39829057,22.11055454,21.72714796,21.32458636,21.11146943,20.53564709,19.99637705,19.41942035,18.97197707
Final Energy|Residential and Commercial|Residential|Heating|SpaceNet Zero 2050,GCAM 6.0 NGFS,Net Zero 2050,World,Final Energy|Residential and Commercial|Residential|Heating|Space,EJ/yr,22.31618822,20.65161729,19.50672858,18.14153464,16.25349774,16.08565082,16.4684719,16.79224551,16.87319829,16.8399027,16.77127914,16.67348848,16.55893248,16.34281926,16.10457381,15.90994774
Final Energy|Residential and Commercial|Residential|HydrogenBelow 2°C,GCAM 6.0 NGFS,Below 2°C,World,Final Energy|Residential and Commercial|Residential|Hydrogen,EJ/yr,0.002763493,0.031446014,0.548682299,0.917602394,1.408815858,2.21181051,3.027059441,4.057542015,4.88347537,5.578884892,6.790875611,5.940984167,4.970922438,4.322380117,3.934710725,3.709686726
Final Energy|Residential and Commercial|Residential|HydrogenCurrent Policies,GCAM 6.0 NGFS,Current Policies,World,Final Energy|Residential and Commercial|Residential|Hydrogen,EJ/yr,0.002602109,0.028620093,0.066271663,0.089696143,0.147859252,0.322699541,0.323442193,0.33444358,0.344556028,0.364142051,0.395732149,0.433275783,0.460994138,0.485462321,0.511020879,0.548446805
Final Energy|Residential and Commercial|Residential|HydrogenDelayed transition,GCAM 6.0 NGFS,Delayed transition,World,Final Energy|Residential and Commercial|Residential|Hydrogen,EJ/yr,0.002602108,0.028622448,0.392119386,1.31334151,1.989817763,3.505182072,5.24243313,6.713174085,5.636045343,5.404175238,5.453337667,5.897783722,5.119739927,4.567694742,4.206119848,3.90188828
Final Energy|Residential and Commercial|Residential|HydrogenFragmented World,GCAM 6.0 NGFS,Fragmented World,World,Final Energy|Residential and Commercial|Residential|Hydrogen,EJ/yr,0.002602907,0.028567257,0.268052735,0.694784741,1.313381003,2.097481126,1.643889557,2.927243085,1.758910824,1.232284845,1.080238937,1.138554285,1.138795861,1.106943133,1.084713865,1.272954713
Final Energy|Residential and Commercial|Residential|HydrogenLow demand,GCAM 6.0 NGFS,Low demand,World,Final Energy|Residential and Commercial|Residential|Hydrogen,EJ/yr,0.002805901,0.032064638,0.690369798,1.316192126,2.62821124,4.914830496,4.006831352,3.697345213,3.223919455,2.95815272,3.035690106,3.28816085,3.400191478,3.284405597,3.088286129,2.802548237
Final Energy|Residential and Commercial|Residential|HydrogenNationally Determined Contributions (NDCs),GCAM 6.0 NGFS,Nationally Determined Contributions (NDCs),World,Final Energy|Residential and Commercial|Residential|Hydrogen,EJ/yr,0.002634348,0.028360351,0.21470458,0.253099123,0.293057672,0.502432928,0.577622443,0.62060123,0.614970988,0.742898967,0.850382025,0.937003311,0.946031245,1.26989751,1.197366126,1.170394515
Final Energy|Residential and Commercial|Residential|HydrogenNet Zero 2050,GCAM 6.0 NGFS,Net Zero 2050,World,Final Energy|Residential and Commercial|Residential|Hydrogen,EJ/yr,0.002839239,0.034373895,0.709977544,1.305011489,2.937478033,6.200973489,6.482942499,6.270410475,5.750095225,5.4166143,5.513612334,5.96695983,6.150073744,5.956098354,5.891516696,5.807458181
Final Energy|Residential and Commercial|Residential|LiquidsBelow 2°C,GCAM 6.0 NGFS,Below 2°C,World,Final Energy|Residential and Commercial|Residential|Liquids,EJ/yr,8.411971084,7.525004562,7.398567017,6.922936219,5.868268777,4.59030482,3.38306876,2.137759442,1.349229171,0.966859629,0.528421105,0.735733622,0.970228588,1.137270836,1.224670552,1.300232508
Final Energy|Residential and Commercial|Residential|LiquidsCurrent Policies,GCAM 6.0 NGFS,Current Policies,World,Final Energy|Residential and Commercial|Residential|Liquids,EJ/yr,8.470761343,8.600653301,9.343438333,9.678817906,9.698777432,9.898304035,9.83339135,9.552085383,9.30896416,8.965717476,8.530282399,8.100354189,7.771415815,7.475545087,7.177061876,6.787659359
Final Energy|Residential and Commercial|Residential|LiquidsDelayed transition,GCAM 6.0 NGFS,Delayed transition,World,Final Energy|Residential and Commercial|Residential|Liquids,EJ/yr,8.470763663,8.600534094,8.102641266,7.497995467,5.928100491,3.307430594,2.262361865,1.230732021,1.207219249,1.049397266,0.923980893,0.74189285,0.945584244,1.095801105,1.200593408,1.299769931
Final Energy|Residential and Commercial|Residential|LiquidsFragmented World,GCAM 6.0 NGFS,Fragmented World,World,Final Energy|Residential and Commercial|Residential|Liquids,EJ/yr,8.467582222,8.586958319,8.904645665,9.067901251,8.789469424,8.51860289,7.830340658,6.968254405,6.905325021,6.697659046,6.46612899,6.301683531,6.059852889,5.830331264,5.626384453,5.320503706
Final Energy|Residential and Commercial|Residential|LiquidsLow demand,GCAM 6.0 NGFS,Low demand,World,Final Energy|Residential and Commercial|Residential|Liquids,EJ/yr,8.310449867,7.198760974,6.567546376,5.175016646,2.653416343,1.017650167,1.463918127,1.495024311,1.646839451,1.59912884,1.452865096,1.268401073,1.187496924,1.138929548,1.121299587,1.132655869
Final Energy|Residential and Commercial|Residential|LiquidsNationally Determined Contributions (NDCs),GCAM 6.0 NGFS,Nationally Determined Contributions (NDCs),World,Final Energy|Residential and Commercial|Residential|Liquids,EJ/yr,8.377543233,8.5527477,9.014845622,9.213599319,8.980126686,8.934706886,8.622781228,7.974843164,7.472040505,6.937343978,6.439122035,6.1973468,5.683701127,5.242077689,4.913088233,4.608331547
Final Energy|Residential and Commercial|Residential|LiquidsNet Zero 2050,GCAM 6.0 NGFS,Net Zero 2050,World,Final Energy|Residential and Commercial|Residential|Liquids,EJ/yr,8.303868518,7.197051904,6.48614498,4.900949387,2.291018306,0.684824962,0.762946354,0.764437825,0.882160402,0.904747868,0.834611972,0.709756053,0.669982699,0.682493897,0.647158059,0.628813881
Final Energy|Residential and Commercial|SolidsBelow 2°C,REMIND-MAgPIE 3.3-4.8,Below 2°C,World,Final Energy|Residential and Commercial|Solids,EJ/yr,32.5375605,27.1827869,21.2197141,14.3076733,7.6615307,4.7742114,3.2065653,2.2693385,,1.8183788,,1.5643186,,1.0950453,,0.9138288
Final Energy|Residential and Commercial|SolidsCurrent Policies,REMIND-MAgPIE 3.3-4.8,Current Policies,World,Final Energy|Residential and Commercial|Solids,EJ/yr,32.5852886,31.0413584,29.0041972,25.8241501,22.8062674,22.5500567,16.3420493,14.2636654,,9.9667909,,8.5555331,,8.0654249,,7.5977485
Final Energy|Residential and Commercial|SolidsDelayed transition,REMIND-MAgPIE 3.3-4.8,Delayed transition,World,Final Energy|Residential and Commercial|Solids,EJ/yr,32.5852886,31.0413584,27.650314,13.6690875,7.1100671,4.6668307,3.1267099,2.2198414,,1.5562183,,1.5263447,,0.9137187,,1.0438375
Final Energy|Residential and Commercial|SolidsFragmented World,REMIND-MAgPIE 3.3-4.8,Fragmented World,World,Final Energy|Residential and Commercial|Solids,EJ/yr,32.5852886,31.0413584,28.7348848,23.6930157,20.1581629,20.2005096,14.2342379,11.1333836,,6.4168543,,5.6587491,,5.6257216,,5.9156027
Final Energy|Residential and Commercial|SolidsLow demand,REMIND-MAgPIE 3.3-4.8,Low demand,World,Final Energy|Residential and Commercial|Solids,EJ/yr,34.7765241,24.2290264,15.4017291,10.3472854,6.7670842,4.3017378,2.4042359,1.3641919,,0.3993992,,0.5315029,,0.9618126,,1.2176812
Final Energy|Residential and Commercial|SolidsNationally Determined Contributions (NDCs),REMIND-MAgPIE 3.3-4.8,Nationally Determined Contributions (NDCs),World,Final Energy|Residential and Commercial|Solids,EJ/yr,32.4637364,25.4854997,20.0775172,15.4837583,11.2400894,8.5670509,6.1698773,5.0492457,,3.44663,,2.6187211,,2.2532707,,1.805725
Final Energy|Residential and Commercial|SolidsNet Zero 2050,REMIND-MAgPIE 3.3-4.8,Net Zero 2050,World,Final Energy|Residential and Commercial|Solids,EJ/yr,31.7175502,21.526324,13.6645722,8.5122372,5.4825128,3.3382241,1.8601478,1.1837184,,0.726705,,0.2197057,,0.2832405,,0.5204468
Final Energy|Residential and Commercial|Solids|BiomassBelow 2°C,REMIND-MAgPIE 3.3-4.8,Below 2°C,World,Final Energy|Residential and Commercial|Solids|Biomass,EJ/yr,23.1990451,18.8651234,14.4602082,10.6906072,6.6802537,4.2796271,2.806606,2.0784755,,1.6951287,,1.4581464,,1.0046922,,0.8308734
Final Energy|Residential and Commercial|Solids|BiomassCurrent Policies,REMIND-MAgPIE 3.3-4.8,Current Policies,World,Final Energy|Residential and Commercial|Solids|Biomass,EJ/yr,23.5751989,20.9899005,16.9069636,12.8662312,9.0722775,5.7893867,3.2952507,2.0312864,,0.4908106,,0.0296071,,0.0000164,,0.0000054
Final Energy|Residential and Commercial|Solids|BiomassDelayed transition,REMIND-MAgPIE 3.3-4.8,Delayed transition,World,Final Energy|Residential and Commercial|Solids|Biomass,EJ/yr,23.5751989,20.9899005,16.6762747,11.8795182,7.0122504,4.6020259,3.0666505,2.2005825,,1.5484557,,1.5191439,,0.9075013,,1.0144579
Final Energy|Residential and Commercial|Solids|BiomassFragmented World,REMIND-MAgPIE 3.3-4.8,Fragmented World,World,Final Energy|Residential and Commercial|Solids|Biomass,EJ/yr,23.5751989,20.9899005,16.7447842,12.5417792,8.3154693,5.3392101,3.1806325,2.024583,,0.6729029,,0.2910822,,0.2842582,,0.2842482
Final Energy|Residential and Commercial|Solids|BiomassLow demand,REMIND-MAgPIE 3.3-4.8,Low demand,World,Final Energy|Residential and Commercial|Solids|Biomass,EJ/yr,23.6064041,20.3621981,15.2742863,10.2250019,6.6448006,4.1835131,2.3219571,1.32355,,0.3757198,,0.5164411,,0.9419348,,1.1970439
Final Energy|Residential and Commercial|Solids|BiomassNationally Determined Contributions (NDCs),REMIND-MAgPIE 3.3-4.8,Nationally Determined Contributions (NDCs),World,Final Energy|Residential and Commercial|Solids|Biomass,EJ/yr,23.6363844,19.5918718,14.9628659,10.949061,7.2477768,5.1130923,3.256255,2.3847532,,1.5499942,,0.9285933,,0.7796423,,0.6236063
Final Energy|Residential and Commercial|Solids|BiomassNet Zero 2050,REMIND-MAgPIE 3.3-4.8,Net Zero 2050,World,Final Energy|Residential and Commercial|Solids|Biomass,EJ/yr,21.9053388,18.9682767,13.6645722,8.5122372,5.4415585,3.2972698,1.8191935,1.1710121,,0.722255,,0.2153441,,0.2823399,,0.5012007
Final Energy|Residential and Commercial|Solids|Biomass|TraditionalBelow 2°C,REMIND-MAgPIE 3.3-4.8,Below 2°C,World,Final Energy|Residential and Commercial|Solids|Biomass|Traditional,EJ/yr,18.524621,15.4869559,11.9024017,8.5346632,5.5711608,3.4229586,2.1379415,1.1964822,,0.2571823,,0.1414013,,0.0842368,,0
Final Energy|Residential and Commercial|Solids|Biomass|TraditionalCurrent Policies,REMIND-MAgPIE 3.3-4.8,Current Policies,World,Final Energy|Residential and Commercial|Solids|Biomass|Traditional,EJ/yr,18.3734372,15.8741974,12.7739099,9.431562,6.4213183,4.255108,2.7668542,1.7499517,,0.4907658,,0.029582,,0,,0
Final Energy|Residential and Commercial|Solids|Biomass|TraditionalDelayed transition,REMIND-MAgPIE 3.3-4.8,Delayed transition,World,Final Energy|Residential and Commercial|Solids|Biomass|Traditional,EJ/yr,18.3734372,15.8741974,12.6725456,9.1642579,6.1545645,3.9907566,2.50917,1.5067284,,0.3194127,,0,,0,,0
Final Energy|Residential and Commercial|Solids|Biomass|TraditionalFragmented World,REMIND-MAgPIE 3.3-4.8,Fragmented World,World,Final Energy|Residential and Commercial|Solids|Biomass|Traditional,EJ/yr,18.3734372,15.8741974,12.834891,9.2923565,6.2925086,4.1360648,2.6496599,1.6373138,,0.4032966,,0.0068096,,0,,0
Final Energy|Residential and Commercial|Solids|Biomass|TraditionalLow demand,REMIND-MAgPIE 3.3-4.8,Low demand,World,Final Energy|Residential and Commercial|Solids|Biomass|Traditional,EJ/yr,18.7634353,15.2030801,11.2073441,7.7026255,4.9809499,2.8913028,1.4949607,0.6422194,,0.0092862,,0,,0,,0
Final Energy|Residential and Commercial|Solids|Biomass|TraditionalNationally Determined Contributions (NDCs),REMIND-MAgPIE 3.3-4.8,Nationally Determined Contributions (NDCs),World,Final Energy|Residential and Commercial|Solids|Biomass|Traditional,EJ/yr,18.3847571,15.9153117,12.8342053,9.4613607,6.4508833,4.2838386,2.793832,1.7738081,,0.500419,,0.0354391,,0,,0
Final Energy|Residential and Commercial|Solids|Biomass|TraditionalNet Zero 2050,REMIND-MAgPIE 3.3-4.8,Net Zero 2050,World,Final Energy|Residential and Commercial|Solids|Biomass|Traditional,EJ/yr,17.8776875,14.9812371,10.7576005,7.4080487,4.8188537,2.7334025,1.3581358,0.5398482,,0,,0,,0,,0
Final Energy|Residential and Commercial|Solids|CoalBelow 2°C,REMIND-MAgPIE 3.3-4.8,Below 2°C,World,Final Energy|Residential and Commercial|Solids|Coal,EJ/yr,9.3385153,8.3176635,6.7595059,3.6170661,0.9812771,0.4945843,0.3999593,0.190863,,0.1232501,,0.1061721,,0.0903532,,0.0829554
Final Energy|Residential and Commercial|Solids|CoalCurrent Policies,REMIND-MAgPIE 3.3-4.8,Current Policies,World,Final Energy|Residential and Commercial|Solids|Coal,EJ/yr,9.0100897,10.0514579,12.0972336,12.9579189,13.7339898,16.76067,13.0467986,12.232379,,9.4759803,,8.525926,,8.0654085,,7.597743
Final Energy|Residential and Commercial|Solids|CoalDelayed transition,REMIND-MAgPIE 3.3-4.8,Delayed transition,World,Final Energy|Residential and Commercial|Solids|Coal,EJ/yr,9.0100897,10.0514579,10.9740393,1.7895693,0.0978167,0.0648049,0.0600594,0.0192588,,0.0077626,,0.0072008,,0.0062174,,0.0293796
Final Energy|Residential and Commercial|Solids|CoalFragmented World,REMIND-MAgPIE 3.3-4.8,Fragmented World,World,Final Energy|Residential and Commercial|Solids|Coal,EJ/yr,9.0100897,10.0514579,11.9901006,11.1512365,11.8426936,14.8612995,11.0536054,9.1088006,,5.7439513,,5.3676669,,5.3414634,,5.6313545
Final Energy|Residential and Commercial|Solids|CoalLow demand,REMIND-MAgPIE 3.3-4.8,Low demand,World,Final Energy|Residential and Commercial|Solids|Coal,EJ/yr,11.17012,3.8668283,0.1274428,0.1222835,0.1222835,0.1182247,0.0822789,0.040642,,0.0236793,,0.0150618,,0.0198778,,0.0206374
Final Energy|Residential and Commercial|Solids|CoalNationally Determined Contributions (NDCs),REMIND-MAgPIE 3.3-4.8,Nationally Determined Contributions (NDCs),World,Final Energy|Residential and Commercial|Solids|Coal,EJ/yr,8.827352,5.8936279,5.1146513,4.5346973,3.9923126,3.4539587,2.9136224,2.6644925,,1.8966358,,1.6901278,,1.4736285,,1.1821186
Final Energy|Residential and Commercial|Solids|CoalNet Zero 2050,REMIND-MAgPIE 3.3-4.8,Net Zero 2050,World,Final Energy|Residential and Commercial|Solids|Coal,EJ/yr,9.8122114,2.5580473,0,0,0.0409543,0.0409543,0.0409543,0.0127064,,0.0044501,,0.0043616,,0.0009006,,0.019246
Final Energy|SolarBelow 2°C,MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2°C,World,Final Energy|Solar,EJ/yr,4.436861604,9.147821957,14.55163814,20.35016228,21.98669251,22.85961576,23.57562224,24.25446204,,25.43668525,,26.69646889,,27.94840307,,28.96980166
Final Energy|SolarCurrent Policies,MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Current Policies,World,Final Energy|Solar,EJ/yr,4.436861604,9.136951338,14.45821495,21.0740223,24.70655943,26.06641569,27.19331526,28.29067773,,30.31288186,,32.14768669,,33.31248018,,34.23382811
Final Energy|SolarDelayed transition,MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Delayed transition,World,Final Energy|Solar,EJ/yr,4.436861604,9.136951338,14.5503168,20.62382568,22.16366591,22.92942029,23.61289995,24.26508341,,25.46269573,,26.65408498,,27.87008191,,28.9244723
Final Energy|SolarFragmented World,MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Fragmented World,World,Final Energy|Solar,EJ/yr,4.436861604,9.136951338,14.46938328,20.84477956,23.41219066,24.26010622,24.95524731,25.54378526,,27.20064821,,28.60220516,,30.02047935,,31.03836719
Final Energy|SolarLow demand,MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Low demand,World,Final Energy|Solar,EJ/yr,4.436861604,8.504555846,13.10539665,17.35755476,19.01026107,17.76264956,18.08520323,18.25684346,,18.58169784,,18.84116902,,18.63674223,,18.33681785
Final Energy|SolarNationally Determined Contributions (NDCs),MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Nationally Determined Contributions (NDCs),World,Final Energy|Solar,EJ/yr,4.436861604,9.145261234,14.83610869,21.0057414,22.96512567,23.93030333,24.75617628,25.62144403,,27.31302588,,28.90789391,,29.98686112,,30.90360623
Final Energy|SolarNet Zero 2050,MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Net Zero 2050,World,Final Energy|Solar,EJ/yr,4.436861604,9.072947439,14.38080807,18.97724761,19.72478774,20.49942205,21.18113102,21.87721627,,23.39742379,,25.59755666,,27.28153648,,28.33139299
Final Energy|SolidsBelow 2°C,REMIND-MAgPIE 3.3-4.8,Below 2°C,World,Final Energy|Solids,EJ/yr,97.8227967,86.3020939,71.9507707,54.8207842,36.2906507,24.8988428,21.3459559,18.6484566,,17.4240814,,16.529145,,13.1644273,,10.0846151
Final Energy|SolidsCurrent Policies,REMIND-MAgPIE 3.3-4.8,Current Policies,World,Final Energy|Solids,EJ/yr,98.6448354,100.2800914,99.2145839,96.6124165,93.0597024,94.8396241,91.3502696,87.1936788,,80.2084,,75.4761868,,71.5616256,,66.3439136
Final Energy|SolidsDelayed transition,REMIND-MAgPIE 3.3-4.8,Delayed transition,World,Final Energy|Solids,EJ/yr,98.6448354,100.2800914,95.4703161,50.1036141,25.186535,17.5345275,15.3112709,14.1503486,,13.6602956,,12.1820764,,10.0526335,,7.6637942
Final Energy|SolidsFragmented World,REMIND-MAgPIE 3.3-4.8,Fragmented World,World,Final Energy|Solids,EJ/yr,98.6448354,100.2800914,98.2820599,85.628325,75.741239,72.4257631,67.0481639,63.069289,,60.2677902,,60.5150527,,59.3580806,,56.8376173
Final Energy|SolidsLow demand,REMIND-MAgPIE 3.3-4.8,Low demand,World,Final Energy|Solids,EJ/yr,94.6930256,55.1948371,36.3251534,23.4659248,15.9962072,11.902531,9.0741323,7.1138637,,4.8224983,,4.5882276,,4.7382494,,3.8970506
Final Energy|SolidsNationally Determined Contributions (NDCs),REMIND-MAgPIE 3.3-4.8,Nationally Determined Contributions (NDCs),World,Final Energy|Solids,EJ/yr,97.5249158,83.3010728,73.3932941,63.2844557,52.6989475,45.4986024,41.4702881,39.0630725,,36.1806042,,33.2435161,,31.1957253,,27.7824868
Final Energy|SolidsNet Zero 2050,REMIND-MAgPIE 3.3-4.8,Net Zero 2050,World,Final Energy|Solids,EJ/yr,95.308472,64.6482206,40.451038,22.9099919,17.626732,13.6839164,11.1544422,9.1701855,,6.4180726,,5.3073877,,4.7886121,,3.4511076
Final Energy|Solids|BiomassBelow 2°C,REMIND-MAgPIE 3.3-4.8,Below 2°C,World,Final Energy|Solids|Biomass,EJ/yr,31.0112586,26.032412,21.0082817,16.7096279,14.188301,13.2717721,13.2683433,12.6523347,,12.4243692,,11.5511758,,8.2685381,,5.646505
Final Energy|Solids|BiomassCurrent Policies,REMIND-MAgPIE 3.3-4.8,Current Policies,World,Final Energy|Solids|Biomass,EJ/yr,30.9579439,25.5849326,20.0815228,14.5131197,9.6547093,5.9828257,3.4810436,2.0313599,,0.5291434,,0.0296791,,0.0000628,,0.0000298
Final Energy|Solids|BiomassDelayed transition,REMIND-MAgPIE 3.3-4.8,Delayed transition,World,Final Energy|Solids|Biomass,EJ/yr,30.9579439,25.5849326,20.2884454,16.9712901,14.6327124,12.6689241,11.9321149,11.0851397,,10.6421577,,9.1838676,,6.9449539,,5.0822976
Final Energy|Solids|BiomassFragmented World,REMIND-MAgPIE 3.3-4.8,Fragmented World,World,Final Energy|Solids|Biomass,EJ/yr,30.9579439,25.5849326,20.1407645,14.8199068,10.7239754,7.7563158,5.4393095,4.1549445,,3.0296215,,3.3564907,,3.1111662,,2.5932567
Final Energy|Solids|BiomassLow demand,REMIND-MAgPIE 3.3-4.8,Low demand,World,Final Energy|Solids|Biomass,EJ/yr,30.9976424,27.3258411,24.1083386,18.573709,13.7668316,10.0977896,7.5157478,5.6513235,,3.4234938,,3.0296191,,3.2646177,,2.8574634
Final Energy|Solids|BiomassNationally Determined Contributions (NDCs),REMIND-MAgPIE 3.3-4.8,Nationally Determined Contributions (NDCs),World,Final Energy|Solids|Biomass,EJ/yr,31.007699,26.0593566,21.2630833,16.4074448,12.0636653,8.8919858,7.2540945,7.0075238,,8.4347811,,7.0849089,,6.8371686,,5.1475434
Final Energy|Solids|BiomassNet Zero 2050,REMIND-MAgPIE 3.3-4.8,Net Zero 2050,World,Final Energy|Solids|Biomass,EJ/yr,31.1385214,30.1068399,26.1389182,20.401417,15.4624981,11.6029511,9.2559578,7.3891084,,4.9590155,,3.6439426,,3.2987191,,2.4301988
Final Energy|Solids|Biomass|TraditionalBelow 2°C,REMIND-MAgPIE 3.3-4.8,Below 2°C,World,Final Energy|Solids|Biomass|Traditional,EJ/yr,18.974056,15.7552353,12.1322386,8.5750822,5.5712022,3.4229586,2.1379415,1.1964822,,0.2571823,,0.1414013,,0.0842368,,0
Final Energy|Solids|Biomass|TraditionalCurrent Policies,REMIND-MAgPIE 3.3-4.8,Current Policies,World,Final Energy|Solids|Biomass|Traditional,EJ/yr,19.0021277,15.9919475,12.8348928,9.431562,6.4213183,4.255108,2.7668542,1.7499517,,0.4907658,,0.029582,,0,,0
Final Energy|Solids|Biomass|TraditionalDelayed transition,REMIND-MAgPIE 3.3-4.8,Delayed transition,World,Final Energy|Solids|Biomass|Traditional,EJ/yr,19.0021277,15.9919475,12.7229148,9.1642579,6.1545645,3.9907566,2.50917,1.5067284,,0.3194127,,0,,0,,0
Final Energy|Solids|Biomass|TraditionalFragmented World,REMIND-MAgPIE 3.3-4.8,Fragmented World,World,Final Energy|Solids|Biomass|Traditional,EJ/yr,19.0021277,15.9919475,12.834891,9.3119478,6.3017622,4.1360648,2.6496599,1.6373138,,0.4032966,,0.0068096,,0,,0
Final Energy|Solids|Biomass|TraditionalLow demand,REMIND-MAgPIE 3.3-4.8,Low demand,World,Final Energy|Solids|Biomass|Traditional,EJ/yr,18.8179769,15.2030801,11.55692,8.003886,5.0121783,2.8913028,1.4949607,0.6422194,,0.0092862,,0,,0,,0
Final Energy|Solids|Biomass|TraditionalNationally Determined Contributions (NDCs),REMIND-MAgPIE 3.3-4.8,Nationally Determined Contributions (NDCs),World,Final Energy|Solids|Biomass|Traditional,EJ/yr,18.9975165,16.0330618,12.8342053,9.4615364,6.4509246,4.2838386,2.793832,1.7738081,,0.500419,,0.0354391,,0,,0
Final Energy|Solids|Biomass|TraditionalNet Zero 2050,REMIND-MAgPIE 3.3-4.8,Net Zero 2050,World,Final Energy|Solids|Biomass|Traditional,EJ/yr,18.6885921,15.0249816,11.3793999,7.8285692,4.8425499,2.7334025,1.3581358,0.5398482,,0,,0,,0,,0
Final Energy|Solids|CoalBelow 2°C,REMIND-MAgPIE 3.3-4.8,Below 2°C,World,Final Energy|Solids|Coal,EJ/yr,66.8115381,60.269682,50.942489,38.1111564,22.1023498,11.6270706,8.0776127,5.9961219,,4.9997122,,4.9779692,,4.8958892,,4.4381101
Final Energy|Solids|CoalCurrent Policies,REMIND-MAgPIE 3.3-4.8,Current Policies,World,Final Energy|Solids|Coal,EJ/yr,67.6868915,74.6951587,79.1330611,82.0992967,83.4049931,88.8567984,87.869226,85.1623189,,79.6792566,,75.4465077,,71.5615628,,66.3438838
Final Energy|Solids|CoalDelayed transition,REMIND-MAgPIE 3.3-4.8,Delayed transition,World,Final Energy|Solids|Coal,EJ/yr,67.6868915,74.6951587,75.1818707,33.1323241,10.5538226,4.8656034,3.379156,3.0652089,,3.0181379,,2.9982088,,3.1076795,,2.5814966
Final Energy|Solids|CoalFragmented World,REMIND-MAgPIE 3.3-4.8,Fragmented World,World,Final Energy|Solids|Coal,EJ/yr,67.6868915,74.6951587,78.1412954,70.8084182,65.0172636,64.6694473,61.6088544,58.9143446,,57.2381687,,57.158562,,56.2469144,,54.2443606
Final Energy|Solids|CoalLow demand,REMIND-MAgPIE 3.3-4.8,Low demand,World,Final Energy|Solids|Coal,EJ/yr,63.6953832,27.868996,12.2168148,4.8922158,2.2293756,1.8047414,1.5583845,1.4625402,,1.3990045,,1.5586085,,1.4736317,,1.0395872
Final Energy|Solids|CoalNationally Determined Contributions (NDCs),REMIND-MAgPIE 3.3-4.8,Nationally Determined Contributions (NDCs),World,Final Energy|Solids|Coal,EJ/yr,66.5172168,57.2417162,52.1302108,46.877011,40.6352822,36.6066165,34.2161936,32.0555487,,27.7458231,,26.1586072,,24.3585567,,22.6349434
Final Energy|Solids|CoalNet Zero 2050,REMIND-MAgPIE 3.3-4.8,Net Zero 2050,World,Final Energy|Solids|Coal,EJ/yr,64.1699507,34.5413807,14.3121198,2.508575,2.1642339,2.0809653,1.8984843,1.7810771,,1.459057,,1.6634451,,1.489893,,1.0209088
Final Energy|TransportationBelow 2°C,REMIND-MAgPIE 3.3-4.8,Below 2°C,World,Final Energy|Transportation,EJ/yr,124.056069,119.3286495,114.9289157,112.5658174,111.3262638,112.196386,113.6973483,118.2449748,,121.0547553,,126.4163637,,132.5110748,,137.4805639
Final Energy|TransportationCurrent Policies,REMIND-MAgPIE 3.3-4.8,Current Policies,World,Final Energy|Transportation,EJ/yr,130.1511386,138.1252463,144.4981197,150.1582172,156.4074392,163.4024832,171.3910719,182.2168607,,191.2796762,,201.0174274,,208.6983267,,212.879133
Final Energy|TransportationDelayed transition,REMIND-MAgPIE 3.3-4.8,Delayed transition,World,Final Energy|Transportation,EJ/yr,130.1511386,138.1252463,126.6095143,121.1628664,115.7965737,113.4488778,114.5467783,118.8151347,,123.1536377,,130.2775707,,137.1421448,,143.3863088
Final Energy|TransportationFragmented World,REMIND-MAgPIE 3.3-4.8,Fragmented World,World,Final Energy|Transportation,EJ/yr,130.1511386,138.1252463,128.1274768,128.2109055,127.8399752,129.9331259,133.9837488,141.1433125,,147.1106877,,155.5022099,,163.6593548,,170.6768452
Final Energy|TransportationLow demand,REMIND-MAgPIE 3.3-4.8,Low demand,World,Final Energy|Transportation,EJ/yr,122.3477504,110.5927736,97.9749988,89.2069567,82.2352261,78.3476078,80.4457507,85.4393082,,91.4805515,,99.1564704,,105.2571197,,109.7383893
Final Energy|TransportationNationally Determined Contributions (NDCs),REMIND-MAgPIE 3.3-4.8,Nationally Determined Contributions (NDCs),World,Final Energy|Transportation,EJ/yr,125.8844617,121.4015414,117.1956415,117.2198429,120.1584148,124.8053465,129.7390328,137.567667,,143.4001593,,151.8518413,,159.6613889,,165.0173161
